Time,Attacks,Power
1684481100034,0,304.4
1684481100235,0,304.8
1684481100435,0,307.6
1684481100637,0,304.8
1684481100838,0,303.59999999999997
1684481101039,0,314.4
1684481101239,0,304.8
1684481101439,0,304.0
1684481101640,0,303.2
1684481101840,0,303.59999999999997
1684481102040,0,304.8
1684481102240,0,303.59999999999997
1684481102441,0,304.0
1684481102641,0,303.59999999999997
1684481102841,0,303.59999999999997
1684481103041,0,304.8
1684481103242,0,303.59999999999997
1684481103442,0,305.6
1684481103642,0,304.0
1684481103842,0,304.4
1684481104043,0,305.6
1684481104243,0,304.0
1684481104443,0,304.8
1684481104644,0,303.2
1684481104844,0,304.0
1684481105044,0,306.0
1684481105244,0,305.2
1684481105445,0,304.8
1684481105645,0,303.2
1684481105845,0,302.8
1684481106045,0,304.8
1684481106246,0,306.0
1684481106446,0,304.0
1684481106646,0,305.2
1684481106847,0,308.4
1684481107046,0,305.6
1684481107247,0,304.4
1684481107447,0,303.59999999999997
1684481107648,0,304.0
1684481107848,0,304.4
1684481108048,0,304.8
1684481108249,0,304.0
1684481108449,0,303.59999999999997
1684481108649,0,304.4
1684481108849,0,302.8
1684481109050,0,305.2
1684481109250,0,304.0
1684481109450,0,304.4
1684481109650,0,305.2
1684481109851,0,303.2
1684481110051,0,304.4
1684481110251,0,304.8
1684481110452,0,305.2
1684481110652,0,305.6
1684481110852,0,305.2
1684481111052,0,304.8
1684481111253,0,304.8
1684481111453,0,304.0
1684481111653,0,305.6
1684481111853,0,304.8
1684481112054,0,303.59999999999997
1684481112254,0,303.59999999999997
1684481112454,0,302.8
1684481112655,0,304.4
1684481112855,0,304.4
1684481113055,0,303.59999999999997
1684481113255,0,304.4
1684481113456,0,304.8
1684481113656,0,305.2
1684481113856,0,302.8
1684481114056,0,303.59999999999997
1684481114257,0,304.4
1684481114457,0,304.4
1684481114657,0,304.8
1684481114857,0,303.2
1684481115058,0,305.2
1684481115258,0,304.4
1684481115458,0,304.0
1684481115659,0,305.6
1684481115859,0,303.59999999999997
1684481116059,0,304.0
1684481116259,0,304.0
1684481116460,0,303.59999999999997
1684481116660,0,305.6
1684481116860,0,304.0
