Time,Attacks,Power
1684399827290,0,305.2
1684399827491,0,305.2
1684399827691,0,305.2
1684399827893,0,307.6
1684399828094,0,307.6
1684399828294,0,306.0
1684399828495,0,307.6
1684399828695,0,306.79999999999995
1684399828895,0,307.6
1684399829096,0,307.6
1684399829296,0,305.6
1684399829496,0,306.79999999999995
1684399829697,0,306.4
1684399829897,0,306.79999999999995
1684399830097,0,306.4
1684399830297,0,306.4
1684399830497,0,306.4
1684399830698,0,305.6
1684399830898,0,307.2
1684399831098,0,308.0
1684399831299,0,308.4
1684399831499,0,306.0
1684399831699,0,305.6
1684399831900,0,305.6
1684399832100,0,317.2
1684399832300,0,308.4
1684399832500,0,306.79999999999995
1684399832701,0,306.79999999999995
1684399832901,0,305.2
1684399833101,0,308.0
1684399833302,0,308.0
1684399833502,0,306.0
1684399833702,0,305.2
1684399833902,0,304.4
1684399834103,0,306.4
1684399834303,0,306.4
1684399834503,0,305.6
1684399834703,0,305.6
1684399834904,0,305.2
1684399835104,0,306.0
1684399835304,0,307.2
1684399835505,0,305.2
1684399835705,0,306.0
1684399835905,0,309.59999999999997
1684399836105,0,308.0
1684399836306,0,308.0
1684399836506,0,306.4
1684399836706,0,306.0
1684399836906,0,307.6
1684399837107,0,306.4
1684399837307,0,306.79999999999995
1684399837507,0,306.4
1684399837708,0,307.2
1684399837908,0,308.0
1684399838108,0,306.0
1684399838308,0,307.6
1684399838509,0,307.2
1684399838709,0,305.2
1684399838909,0,307.6
1684399839110,0,305.6
1684399839310,0,306.79999999999995
1684399839510,0,306.0
1684399839710,0,306.0
1684399839911,0,306.79999999999995
1684399840111,0,306.4
1684399840311,0,307.2
1684399840511,0,307.6
1684399840712,0,306.0
1684399840912,0,308.0
1684399841112,0,306.79999999999995
1684399841312,0,308.0
1684399841513,0,305.6
1684399841712,0,307.2
1684399841913,0,308.0
1684399842114,0,307.6
1684399842314,0,306.4
1684399842514,0,305.6
1684399842714,0,306.0
1684399842915,0,307.2
1684399843115,0,307.6
1684399843315,0,306.4
1684399843516,0,306.4
1684399843716,0,307.2
1684399843916,0,307.6
1684399844116,0,307.6
1684399844317,0,306.4
1684399844517,0,306.79999999999995
1684399844717,0,307.6
1684399844917,0,306.4
1684399845118,0,308.0
1684399845318,0,306.79999999999995
1684399845518,0,306.4
1684399845719,0,307.2
1684399845919,0,307.6
1684399846119,0,308.0
1684399846319,0,307.6
1684399846520,0,306.79999999999995
1684399846720,0,307.6
1684399846920,0,306.79999999999995
1684399847121,0,320.79999999999995
1684399847321,0,308.4
1684399847521,0,306.0
1684399847721,0,306.79999999999995
1684399847922,0,306.4
1684399848122,0,304.8
1684399848322,0,307.2
1684399848522,0,306.0
1684399848723,0,306.4
1684399848923,0,306.4
1684399849123,0,306.0
1684399849323,0,307.2
1684399849524,0,306.4
1684399849724,0,308.0
1684399849924,0,307.2
1684399850124,0,306.4
1684399850325,0,307.6
1684399850525,0,306.79999999999995
1684399850725,0,306.4
1684399850925,0,305.6
1684399851126,0,306.4
1684399851326,0,306.79999999999995
1684399851526,0,306.0
1684399851726,0,305.6
1684399851927,0,308.0
1684399852127,0,308.0
1684399852327,0,308.0
1684399852528,0,306.4
1684399852728,0,306.4
1684399852928,0,308.0
1684399853129,0,306.0
1684399853329,0,306.4
1684399853529,0,306.0
1684399853729,0,305.2
1684399853930,0,306.4
1684399854130,0,306.4
1684399854330,0,306.79999999999995
1684399854530,0,307.2
1684399854731,0,306.0
1684399854931,0,307.6
1684399855131,0,308.0
1684399855332,0,306.0
1684399855532,0,307.6
1684399855732,0,307.2
1684399855932,0,307.6
1684399856133,0,308.0
1684399856333,0,307.6
1684399856533,0,307.2
1684399856734,0,307.2
1684399856934,0,306.4
1684399857134,0,307.2
1684399857334,0,306.4
1684399857535,0,306.0
1684399857735,0,310.8
1684399857935,0,307.2
1684399858135,0,307.6
1684399858336,0,308.4
1684399858536,0,308.0
1684399858736,0,306.0
1684399858937,0,307.2
1684399859137,0,308.0
1684399859337,0,307.6
1684399859537,0,306.79999999999995
1684399859738,0,306.79999999999995
1684399859938,0,306.4
1684399860138,0,308.0
1684399860338,0,308.0
1684399860539,0,307.2
1684399860739,0,308.0
1684399860939,0,307.2
1684399861140,0,310.0
1684399861340,0,307.2
1684399861539,0,305.2
1684399861740,0,307.6
1684399861941,0,307.2
1684399862141,0,316.4
1684399862341,0,307.2
1684399862541,0,307.2
1684399862742,0,307.6
1684399862942,0,307.2
1684399863142,0,306.79999999999995
1684399863343,0,308.0
1684399863543,0,306.4
1684399863743,0,306.4
1684399863943,0,306.0
1684399864144,0,308.4
1684399864344,0,308.0
1684399864544,0,308.0
1684399864744,0,308.4
1684399864945,0,307.6
1684399865145,0,306.79999999999995
1684399865345,0,307.6
1684399865546,0,309.2
1684399865746,0,306.79999999999995
1684399865946,0,306.0
1684399866146,0,306.0
1684399866347,0,306.79999999999995
1684399866547,0,306.79999999999995
1684399866747,0,306.4
1684399866947,0,307.6
1684399867148,0,306.4
1684399867348,0,306.4
1684399867548,0,307.2
1684399867749,0,306.0
1684399867949,0,306.79999999999995
1684399868149,0,308.0
1684399868349,0,306.0
1684399868550,0,307.2
1684399868750,0,307.2
1684399868950,0,308.0
1684399869150,0,307.6
1684399869351,0,306.79999999999995
1684399869551,0,307.6
1684399869751,0,306.0
1684399869952,0,306.79999999999995
1684399870152,0,307.6
1684399870352,0,307.6
1684399870552,0,308.0
1684399870753,0,308.0
1684399870953,0,308.0
1684399871153,0,308.0
1684399871353,0,306.4
1684399871554,0,306.79999999999995
1684399871754,0,306.4
1684399871954,0,306.0
1684399872154,0,307.6
1684399872355,0,306.79999999999995
1684399872555,0,308.0
1684399872755,0,306.79999999999995
1684399872956,0,308.0
1684399873156,0,307.6
1684399873356,0,305.6
1684399873556,0,306.4
1684399873757,0,307.2
1684399873957,0,306.4
1684399874157,0,306.79999999999995
1684399874357,0,306.79999999999995
1684399874558,0,305.6
1684399874758,0,307.6
1684399874958,0,306.79999999999995
1684399875159,0,306.4
1684399875359,0,306.79999999999995
1684399875559,0,306.4
1684399875759,0,306.79999999999995
1684399875960,0,307.2
1684399876160,0,305.6
1684399876360,0,304.8
1684399876561,0,304.8
1684399876761,0,307.2
1684399876961,0,308.0
1684399877161,0,317.2
1684399877362,0,306.4
1684399877562,0,306.79999999999995
1684399877762,0,305.6
1684399877962,0,308.0
1684399878163,0,306.0
1684399878363,0,307.2
1684399878563,0,306.4
1684399878763,0,306.4
1684399878964,0,307.2
1684399879164,0,308.0
1684399879364,0,308.0
1684399879565,0,309.2
1684399879765,0,306.4
1684399879965,0,307.6
1684399880165,0,306.79999999999995
1684399880366,0,307.6
1684399880566,0,307.2
1684399880766,0,306.4
1684399880966,0,307.6
1684399881167,0,308.4
1684399881367,0,308.4
1684399881568,0,307.2
1684399881767,0,305.2
1684399881968,0,307.6
1684399882168,0,306.79999999999995
1684399882369,0,307.2
1684399882569,0,306.4
1684399882769,0,306.79999999999995
1684399882969,0,307.6
1684399883170,0,308.0
1684399883370,0,309.2
1684399883570,0,307.6
1684399883770,0,305.6
1684399883971,0,305.6
1684399884171,0,306.79999999999995
1684399884371,0,306.4
1684399884572,0,306.79999999999995
1684399884772,0,307.6
1684399884972,0,306.0
1684399885172,0,307.6
1684399885373,0,308.79999999999995
1684399885573,0,307.6
1684399885773,0,306.79999999999995
1684399885973,0,305.2
1684399886174,0,307.6
1684399886374,0,306.4
1684399886574,0,306.79999999999995
1684399886775,0,308.4
1684399886975,0,305.6
1684399887175,0,307.6
