Time,Attacks,Power
1684407560121,0,134.79999999999998
1684407560322,0,134.79999999999998
1684407560522,0,134.0
1684407560722,0,133.6
1684407560922,0,134.0
1684407561123,0,134.39999999999998
1684407561323,0,134.0
1684407561523,0,134.39999999999998
1684407561723,0,135.2
1684407561924,0,134.39999999999998
1684407562124,0,135.2
1684407562324,0,134.39999999999998
1684407562525,0,134.0
1684407562725,0,134.0
1684407562925,0,133.6
1684407563125,0,134.0
1684407563326,0,135.6
1684407563526,0,138.39999999999998
1684407563726,0,138.0
1684407563926,0,136.4
1684407564127,0,136.4
1684407564327,0,134.79999999999998
1684407564527,0,134.0
1684407564727,0,134.39999999999998
1684407564928,0,134.0
1684407565128,0,134.0
1684407565328,0,133.6
1684407565528,0,134.0
1684407565729,0,134.39999999999998
1684407565929,0,133.6
1684407566129,0,133.6
1684407566329,0,134.0
1684407566530,0,133.6
1684407566730,0,134.0
1684407566930,0,134.0
1684407567131,0,133.6
1684407567331,0,134.0
1684407567531,0,134.0
1684407567731,0,135.2
1684407567932,0,134.0
1684407568132,0,134.0
1684407568332,0,133.6
1684407568532,0,133.6
1684407568733,0,134.0
1684407568933,0,134.0
1684407569133,0,133.6
1684407569333,0,134.79999999999998
1684407569534,0,134.79999999999998
1684407569734,0,134.39999999999998
1684407569934,0,134.0
1684407570135,0,134.0
1684407570335,0,134.0
1684407570535,0,133.6
1684407570735,0,134.79999999999998
1684407570936,0,134.39999999999998
1684407571136,0,134.39999999999998
1684407571336,0,134.0
1684407571537,0,134.39999999999998
1684407571737,0,134.39999999999998
1684407571937,0,134.0
1684407572137,0,133.6
1684407572338,0,135.6
1684407572538,0,136.0
1684407572738,0,134.0
1684407572938,0,133.6
1684407573139,0,133.6
1684407573339,0,133.6
1684407573539,0,133.6
1684407573740,0,134.79999999999998
1684407573940,0,134.0
1684407574140,0,134.39999999999998
1684407574340,0,134.0
1684407574541,0,133.6
1684407574741,0,133.6
1684407574941,0,133.6
1684407575142,0,133.6
1684407575342,0,134.0
1684407575542,0,133.6
1684407575742,0,134.39999999999998
1684407575943,0,134.0
1684407576143,0,133.6
1684407576343,0,133.6
1684407576543,0,133.6
1684407576744,0,134.79999999999998
1684407576944,0,134.39999999999998
1684407577144,0,134.0
1684407577344,0,134.39999999999998
1684407577545,0,134.0
1684407577745,0,134.79999999999998
1684407577945,0,134.0
1684407578146,0,133.6
1684407578346,0,133.6
1684407578546,0,133.6
1684407578746,0,133.6
1684407578947,0,133.6
1684407579146,0,134.0
1684407579347,0,134.79999999999998
1684407579548,0,134.0
1684407579748,0,134.79999999999998
1684407579948,0,134.0
1684407580148,0,133.6
1684407580349,0,134.0
1684407580549,0,134.0
1684407580749,0,134.0
1684407580949,0,134.0
1684407581150,0,134.0
1684407581350,0,134.0
1684407581550,0,134.0
1684407581750,0,134.79999999999998
1684407581951,0,133.6
1684407582151,0,133.6
1684407582351,0,133.6
1684407582552,0,134.39999999999998
1684407582752,0,134.79999999999998
