Time,Attacks,Power
1684310262599,0,322.0
1684310262800,0,324.8
1684310263000,0,324.4
1684310263202,0,325.6
1684310263403,0,326.79999999999995
1684310263603,0,325.6
1684310263803,0,325.6
1684310264003,0,325.2
1684310264204,0,325.6
1684310264404,0,324.4
1684310264604,0,325.2
1684310264805,0,327.59999999999997
1684310265005,0,325.6
1684310265205,0,325.2
1684310265406,0,324.4
1684310265605,0,325.2
1684310265806,0,325.2
1684310266006,0,324.8
1684310266207,0,324.8
1684310266407,0,324.4
1684310266607,0,326.0
1684310266807,0,324.8
1684310267008,0,325.2
1684310267208,0,324.8
1684310267408,0,325.2
1684310267608,0,323.99999999999994
1684310267809,0,324.8
1684310268009,0,324.8
1684310268209,0,325.2
1684310268409,0,324.8
1684310268610,0,324.4
1684310268810,0,324.8
1684310269010,0,325.2
1684310269211,0,325.2
1684310269411,0,324.4
1684310269611,0,323.59999999999997
1684310269811,0,324.4
1684310270012,0,324.8
1684310270212,0,325.2
1684310270412,0,324.8
1684310270612,0,327.2
1684310270813,0,325.2
1684310271013,0,324.8
1684310271213,0,325.2
1684310271414,0,324.8
1684310271614,0,324.4
1684310271814,0,324.8
1684310272014,0,324.8
1684310272215,0,325.6
1684310272415,0,325.2
1684310272615,0,323.99999999999994
1684310272815,0,324.8
1684310273016,0,324.8
1684310273216,0,325.6
1684310273416,0,325.2
1684310273616,0,325.6
1684310273817,0,326.4
1684310274017,0,325.2
1684310274217,0,325.2
1684310274418,0,337.99999999999994
1684310274618,0,327.99999999999994
1684310274818,0,325.2
1684310275018,0,325.2
1684310275219,0,325.2
1684310275418,0,324.4
1684310275619,0,324.8
1684310275819,0,324.8
1684310276020,0,324.8
1684310276220,0,325.2
1684310276420,0,325.2
1684310276620,0,325.2
1684310276821,0,324.8
1684310277021,0,325.2
1684310277221,0,325.2
1684310277422,0,325.6
1684310277622,0,323.99999999999994
1684310277822,0,325.2
1684310278022,0,325.2
1684310278223,0,325.2
1684310278423,0,326.0
1684310278623,0,325.2
1684310278824,0,324.8
1684310279024,0,325.2
1684310279224,0,325.2
1684310279424,0,325.2
1684310279625,0,326.4
1684310279825,0,324.8
1684310280025,0,325.6
1684310280225,0,325.2
1684310280426,0,324.8
1684310280626,0,324.8
1684310280826,0,324.8
1684310281027,0,338.40000000000003
1684310281227,0,326.79999999999995
1684310281427,0,325.6
1684310281628,0,325.6
1684310281828,0,324.4
1684310282028,0,324.8
1684310282228,0,324.4
1684310282429,0,325.2
1684310282629,0,324.4
1684310282829,0,325.2
1684310283029,0,324.8
1684310283230,0,324.8
1684310283430,0,325.2
1684310283630,0,325.2
1684310283831,0,324.8
1684310284031,0,324.8
1684310284231,0,326.0
1684310284431,0,325.2
1684310284632,0,324.4
1684310284832,0,323.99999999999994
1684310285032,0,325.2
1684310285233,0,325.2
1684310285432,0,325.2
1684310285632,0,325.2
1684310285834,0,324.8
1684310286034,0,324.8
1684310286234,0,324.8
1684310286434,0,325.2
1684310286635,0,325.2
1684310286835,0,324.8
1684310287035,0,325.2
1684310287235,0,325.2
1684310287436,0,325.2
1684310287636,0,323.99999999999994
1684310287836,0,324.8
1684310288036,0,324.4
1684310288237,0,325.6
1684310288437,0,325.2
1684310288637,0,323.99999999999994
1684310288838,0,324.4
1684310289038,0,323.99999999999994
1684310289238,0,325.2
1684310289438,0,332.0
1684310289639,0,326.0
1684310289839,0,326.79999999999995
1684310290039,0,324.4
1684310290239,0,324.8
1684310290440,0,325.2
1684310290640,0,324.8
1684310290840,0,324.8
1684310291041,0,324.8
1684310291241,0,325.2
1684310291441,0,327.99999999999994
1684310291641,0,324.8
1684310291842,0,325.6
1684310292042,0,324.8
1684310292242,0,325.2
1684310292443,0,325.6
1684310292643,0,323.99999999999994
1684310292843,0,325.2
1684310293043,0,324.8
1684310293244,0,325.2
1684310293444,0,325.6
1684310293644,0,324.8
1684310293844,0,324.4
1684310294045,0,324.4
1684310294245,0,324.8
1684310294445,0,325.6
1684310294646,0,325.6
1684310294846,0,325.6
1684310295046,0,324.8
1684310295246,0,325.2
1684310295447,0,324.8
1684310295647,0,325.2
1684310295847,0,325.6
1684310296048,0,324.8
1684310296248,0,324.8
1684310296448,0,325.6
1684310296648,0,324.8
1684310296849,0,325.2
1684310297049,0,325.2
1684310297249,0,325.2
1684310297449,0,324.4
1684310297650,0,324.4
1684310297850,0,325.2
1684310298050,0,325.6
1684310298251,0,325.6
1684310298451,0,324.4
1684310298651,0,325.6
1684310298851,0,324.8
1684310299052,0,325.2
1684310299252,0,325.6
1684310299452,0,324.4
1684310299652,0,325.6
1684310299853,0,324.8
1684310300053,0,325.2
1684310300253,0,325.6
1684310300454,0,323.99999999999994
1684310300654,0,325.6
1684310300854,0,324.8
1684310301054,0,324.8
1684310301255,0,325.2
1684310301455,0,325.6
